source_ip,destination_ip,source_port,destination_port,protocol,duration,forward_packets,backward_packets,forward_bytes,backward_bytes,first_seen,dns_query,traffic_label
10.0.0.10,93.184.216.34,50100,443,TCP,2.5,40,55,3200,48000,1700000000,,normal
10.0.0.10,93.184.216.34,50101,443,TCP,1.8,25,30,2100,22000,1700000100,,normal
10.0.0.11,8.8.8.8,53001,53,UDP,0.05,1,1,64,128,1700000200,www.example.com,normal
10.0.0.11,1.1.1.1,53002,53,UDP,0.04,1,1,60,120,1700000210,api.github.com,normal
10.0.0.12,52.84.100.10,50200,443,TCP,3.0,50,60,4000,52000,1700000300,,normal
10.0.1.50,185.199.108.153,51000,443,TCP,120.0,800,20,250000,1500,1700001000,,exfiltration
10.0.1.50,185.199.108.153,51001,443,TCP,90.0,600,15,180000,1200,1700001120,,exfiltration
10.0.1.50,185.199.108.153,51002,443,TCP,75.0,500,10,160000,900,1700001220,,exfiltration
10.0.1.50,185.199.108.153,51003,443,TCP,650.0,900,5,220000,400,1700001400,,exfiltration
10.0.2.60,203.0.113.77,52000,8443,TCP,0.4,4,2,480,120,1700002000,,c2_beacon
10.0.2.60,203.0.113.77,52001,8443,TCP,0.4,4,2,480,120,1700002030,,c2_beacon
10.0.2.60,203.0.113.77,52002,8443,TCP,0.4,4,2,480,120,1700002060,,c2_beacon
10.0.2.60,203.0.113.77,52003,8443,TCP,0.4,4,2,480,120,1700002090,,c2_beacon
10.0.2.60,203.0.113.77,52004,8443,TCP,0.4,4,2,480,120,1700002120,,c2_beacon
10.0.2.60,203.0.113.77,52005,8443,TCP,0.4,4,2,480,120,1700002150,,c2_beacon
10.0.2.60,203.0.113.77,52006,8443,TCP,0.4,4,2,480,120,1700002180,,c2_beacon
10.0.2.60,203.0.113.77,52007,8443,TCP,0.4,4,2,480,120,1700002210,,c2_beacon
10.0.2.60,203.0.113.77,52008,8443,TCP,0.4,4,2,480,120,1700002240,,c2_beacon
10.0.2.60,203.0.113.77,52009,8443,TCP,0.4,4,2,480,120,1700002270,,c2_beacon
10.0.2.60,203.0.113.77,52010,8443,TCP,0.4,4,2,480,120,1700002300,,c2_beacon
10.0.2.60,203.0.113.77,52011,8443,TCP,0.4,4,2,480,120,1700002330,,c2_beacon
10.0.3.70,10.0.0.20,40001,22,TCP,0.1,1,0,60,0,1700003000,,reconnaissance
10.0.3.70,10.0.0.20,40002,23,TCP,0.1,1,0,60,0,1700003001,,reconnaissance
10.0.3.70,10.0.0.20,40003,25,TCP,0.1,1,0,60,0,1700003002,,reconnaissance
10.0.3.70,10.0.0.20,40004,80,TCP,0.1,1,0,60,0,1700003003,,reconnaissance
10.0.3.70,10.0.0.20,40005,110,TCP,0.1,1,0,60,0,1700003004,,reconnaissance
10.0.3.70,10.0.0.20,40006,135,TCP,0.1,1,0,60,0,1700003005,,reconnaissance
10.0.3.70,10.0.0.20,40007,139,TCP,0.1,1,0,60,0,1700003006,,reconnaissance
10.0.3.70,10.0.0.20,40008,443,TCP,0.1,1,0,60,0,1700003007,,reconnaissance
10.0.3.70,10.0.0.20,40009,445,TCP,0.1,1,0,60,0,1700003008,,reconnaissance
10.0.3.70,10.0.0.20,40010,1433,TCP,0.1,1,0,60,0,1700003009,,reconnaissance
10.0.3.70,10.0.0.20,40011,3306,TCP,0.1,1,0,60,0,1700003010,,reconnaissance
10.0.3.70,10.0.0.20,40012,3389,TCP,0.1,1,0,60,0,1700003011,,reconnaissance
10.0.3.70,10.0.0.20,40013,8080,TCP,0.1,1,0,60,0,1700003012,,reconnaissance
10.0.3.70,10.0.0.20,40014,8443,TCP,0.1,1,0,60,0,1700003013,,reconnaissance
10.0.3.70,10.0.0.20,40015,9200,TCP,0.1,1,0,60,0,1700003014,,reconnaissance
10.0.3.70,10.0.0.20,40016,27017,TCP,0.1,1,0,60,0,1700003015,,reconnaissance
10.0.3.70,10.0.0.20,40017,6379,TCP,0.1,1,0,60,0,1700003016,,reconnaissance
10.0.3.70,10.0.0.20,40018,11211,TCP,0.1,1,0,60,0,1700003017,,reconnaissance
10.0.3.70,10.0.0.20,40019,5432,TCP,0.1,1,0,60,0,1700003018,,reconnaissance
10.0.3.70,10.0.0.20,40020,5900,TCP,0.1,1,0,60,0,1700003019,,reconnaissance
10.0.4.80,8.8.8.8,53010,53,UDP,2.0,20,5,2400,400,1700004000,a7f3c91e2b8d4e6f0a1c3b5d7e9f2a4c6b8d0e1f3a5c7e9.malicious-tunnel.example,dns_tunnel
10.0.4.80,8.8.8.8,53011,53,UDP,2.0,20,5,2400,400,1700004005,b8e4d02f3c9e5f7a1b2d4c6e8f0a3b5d7c9e1f2a4b6d8e0.malicious-tunnel.example,dns_tunnel
10.0.4.80,8.8.8.8,53012,53,UDP,2.0,20,5,2400,400,1700004010,c9f5e13a4d0f6a8b2c3e5d7f9a1b4c6e8d0f2a3b5c7e9f1.malicious-tunnel.example,dns_tunnel
